Dialogue_ID,Utterance_ID,Utterance,Speaker,Emotion
36,10,He cried hard?,Patricia,sadness
78,40,"I mean, our airline's fault.  I don't know what happened, misplaced, something happened but we will get you--",Jennifer,neutral
79,43,What the...what am I doing?,Robert,sadness
28,46,Do you have a supervisor?,Patricia,frustration
26,27,"Darling, don't say that.",James,sadness
27,47,They sting.,Mary,anger
77,30,"Oh, oh, that's a good deduction.",Robert,anger
4,42,Do you understand who my husband is?,Mary,anger
55,35,And when we were dancing you said the softest most intimate things to me right into my ears so I could feel them as much as hear them,Patricia,sadness
66,49,And she-she's Larry's girl.,Jennifer,frustration
86,1,Look at the night we got.  I wouldn't trade this for anything.,Robert,excited
60,9,"Yeah, The Lousy Chaperone. [LAUGHTER] Uh huh.",Robert,excited
46,8,"you know you shouldn't give yourself a hard time for that, it's the best you can.",Patricia,neutral
62,16,"And what if- what if it is lost? Well, what are you guys going to do for me?",Jennifer,anger
18,0,Can I help you?,Mary,neutral
67,33,"Why me, above all?",Robert,anger
87,74,I didn't say that.,Jennifer,sadness
23,55,"For instance, there was this one time when this kid--it had been raining for like several days and he gave me his last pair of dry socks.",James,sadness
39,38,"Pass up what?  These little fish swim onto the beach, they flop around, and swim away.  And then they die.",Patricia,frustration
51,71,"I've been a good son too long a good sucker, I'm through with it.",John,anger
30,31,"Yeah, yeah, I called them. I called them And, of course, they were so excited 'cause they love him. Like they always have.  Um--",Patricia,happiness
35,5,I completely understand.  Automated systems are very difficult sometimes.,Patricia,neutral
76,24,"and I was pulling my hair out and it was like, oh my God.  So I just had to finish the major so now they're like, why are you an engineering major, and why are you working, trying to work at a restaurant.  And it's like I don't know just give me the damn job.",Robert,frustration
13,20,"I'll have a little, I think.",James,neutral
32,36,"Well, that's--that's what I'm saying--",John,neutral
40,50,You wanna get married again?,John,frustration
57,19,No thanks.,Patricia,neutral
52,2,She's been in New York three and half years why all of a sudden-,Patricia,anger
1,26,"Maybe you can send it to me, like stream it, yeah?",Mary,sadness
24,65,"They don't know why, we don't know why.  No one like sent them an invitation or gave them a map or direction...",James,excited
17,6,"I mean I've been looking for a job for like three years and I can't get a job.  I mean like, it's America, right?  I should be able to get a job.",James,frustration
83,34,"You know why I asked Annie here, right?",Robert,neutral
57,90,You're a beast. I hate you. Stop it. Stop it.,Patricia,anger
59,7,oh.,Jennifer,excited
90,26,I have been waiting for over an hour.,Linda,frustration
89,58,You're quite insufferable.  I expect it's because you're drunk.,Jennifer,anger
70,10,"Carla, can I ask you something? Don't take this wrong, but are you having your period?",Robert,neutral
47,0,Hi. Um-,John,neutral
93,56,Well I mean I need to make a little bit more than the minimum wage fry flipper.,Linda,frustration
96,11,Big bad acceptance packet with all the information.  I'm going to U.S.C..,Linda,excited
17,37,We're trying to have a conversation and you seem extremely hostile. You keep cutting me off.,Mary,neutral
81,33,I didn't put you on hold.,Robert,frustration
88,9,"I mean, it was, it's bound to come out sooner or later.",Jennifer,excited
14,44,Do you know how long I've been working here? How long have you lived in California?,Mary,anger
45,28,"I know, so",John,happiness
39,64,"Well, so what do you think?",John,neutral
15,30,I know I have a good... I have a really good group of guys with me.,James,sadness
64,57,-drunk.,Robert,excited
93,66,I'm trying to watch TV.,Michael,neutral
13,80,"Yes I am.   Stop it. Stop it.  Let go of me. Oh.  You're a cruel fiend.  I loathe and I hate you. Marry you again?  Never, never, never. I hope you die in torment, you brute beast cad.",Mary,anger
89,65,We might be able to bring up a splendid little debate about this intemperate tots.,Robert,anger
35,46,Okay.,John,neutral
68,72,"And I felt wrong to be alive. To drive the car, to see the new checkbook, to see the new refrigerator. I mean, you can take those things out of the war. But you got to know that when you drive that car that that came out of the love a man can have for another man. And you got to be a little bit better because of that.",Robert,sadness
56,52,It went on intermittently for days.,Patricia,happiness
3,1,"Uh, what?  Craig's List?  Oh the internet thing?",Mary,neutral
7,72,"I've been a good son for too long, a good sucker.",James,frustration
24,32,"It's after eleven, let's go home.",Mary,frustration
8,7,He's not going to marry her.,Mary,anger
25,53,You want me to go get some champagne?,James,neutral
74,14,They said anywhere from two to three years.,Robert,sadness
57,24,You can hardly call three liquor glasses in a whole evening going on and on and on.,John,neutral
43,45,"God, oh my-",John,frustration
65,15,But I'm going to definitely have to- uh--get your contact information,Jennifer,neutral
16,30,"Dude, you lucked out.",Mary,excited
99,2,It's been three years.  Why all of a sudden?,Linda,anger
46,31,"I know, but I mean- if that's the - you know, I'm either like the worst at this or just the most unlucky person on the planet I mean this doesn't",John,frustration
63,32,He was my brother.,Jennifer,sadness
62,27,Did you lock- Did you lock it even? You probably didn't even lock it.,Robert,frustration
95,10,"you know, you don't- you know, how long do you want the person to go through that, you know.",Michael,neutral
31,0,"So, uh, so how's it been going?  I mean, you have any needs or anything?",John,neutral
9,1,"I know.  It kind of went out of style, didn't it?",James,neutral
41,31,Who knows.,John,neutral
53,41,"Well, what's wrong?  I mean, even in your letters there was some--something ashamed.",Patricia,sadness
75,11,Oh like that one movie.  What's that one movie I just saw? No.  Where she like swallows the...,Jennifer,excited
10,39,Why not?,James,neutral
21,13,What is he doing out here at that hour?,Mary,frustration
11,29,"I feel like I'm always just standing here waiting.  I feel like this night is going to be the night, but it never is.",Mary,sadness
27,78,That's very amusing indeed.,James,anger
42,42,"Adders don't snap, they sting.",Patricia,anger
4,6,Okay.,James,neutral
34,72,I will. I will. Thank you.,Patricia,excited
24,53,I'm not.,Mary,frustration
7,10,I guess he is.,James,neutral
3,64,Oh.  I'm saving the environment. I'm riding this car because I- I want to.,Mary,anger
33,7,"I mean, you know, at least he's not in anymore pain now, right?",John,neutral
56,32,"Oh dear, should we like that?",Patricia,sadness
23,5,"Not sorry, no.  I can't stay here.",Mary,sadness
39,59,"all as one, this time release instinctual little firecracker went off and they all turned and formed a line as long as the California coast and started swimming.  And they're swimming right now as if that's all that matters.",John,excited
0,16,I'm here to get an ID.,Mary,frustration
57,46,They snap.,John,frustration
74,75,Fine.  I'll see if I can talk to them.,Robert,frustration
25,34,and figure out where we took a turn to the worst thing.,James,frustration
6,14,"I am just- Yeah.  I'm sticking around, I'm just doing my thing.  I'm living here.  I'm so glad you're going to stay, I'm so glad you're going to be here. Yeah. Woo.",James,excited
14,21,You have a birth certificate?,Mary,frustration
50,58,you know it gets- it gets difficult you know so Alright.,John,neutral
69,27,Right.,Robert,neutral
81,58,My name is Sara.,Robert,neutral
89,6,You went out of your way to torture me over Peter Burden.,Robert,anger
82,25,"Look, I am on the road all the time.  Do you understand how important?  I'm a woman, a single mother by herself working...what?",Jennifer,frustration
93,6,"Just, I don't know, maybe you're not smart enough.",Michael,neutral
40,89,"Augie, I'm sorry.",Patricia,sadness
21,70,You have a business here.  I said what the hell is this?,Mary,anger
66,88,The business. The business doesn't inspire me.,Robert,frustration
28,18,"Alright, I don't know what to tell you right.",John,frustration
10,20,"Naturally.  God, how could we not think to bring it?  I hope the moon stays out, though.",James,frustration
53,66,What'll I do with a fortune?,Patricia,happiness
5,8,Thank you.,Mary,neutral
42,23,Just seems so silly to go on and on and on with such a thing.,Patricia,neutral
34,13,"I know.  I know. And we'll all get to hang out.  And I'm--even though we'll be at like at different parts of the city, we can still, like...",Patricia,excited
22,1,"Well, maybe he wanted see her.",James,neutral
85,13,"Well, I don't know, embarrassed of her since I came.",Jennifer,sadness
63,21,"I know. He was, he had so much going for him.",Jennifer,sadness
94,3,Yeah.  Yeah I did.,Linda,frustration
43,21,"It's standard? I mean I don't work at the D.M.V. how am I supposed to know that, like, I stand in line, I get my",John,anger
71,14,"things that should matter dreadfully don't seem to matter at all when one's happy, do they?",Robert,excited
16,49,"you're a lucky, lucky, lucky man.",Mary,excited
27,85,Shut up. Shut up. I wouldn't marry you again if you came crawling back to me on a bended knee. You are an evil tempered little vampire and I never want to see you again as long as I live.,James,anger
19,11,"He kind of didn't have anyone to take care of that for him, so--",James,sadness
66,28,They do come back.,Jennifer,neutral
92,29,plan everything.  So then you can make sure that no one gets attacked by bears.,Linda,excited
97,0,Hello.  Thank you for calling Dell Taco Corporate.  Can I help you?,Linda,happiness
42,81,"You're a vile, tempered, loose living, wicked little beast and I hope to never see you again as long as I live.",John,anger
18,57,I wish I-,Mary,neutral
28,26,And I can tell you where I was born and what time and by who and what day.,Patricia,frustration
53,58,"And I felt what you said, ashamed somehow 'cause nobody had changed at all.  It seemed to make suckers out of a lot of guys.  I felt wrong to be alive to open the new bank book, drive the new car, see the new refrigerator.",John,sadness
10,26,[LAUGHTER],Mary,happiness
79,26,and just going to the funeral it's-,Robert,sadness
36,67,I just--give it some more thought.,Patricia,frustration
78,22,"Well, we can give you um- hotel lodging for a night if that--",Jennifer,neutral
55,53,No.,Patricia,frustration
4,63,I don't think you have done everything you could do because I don't have my bag here yet.,Mary,anger
77,54,Whose daughter are you?,Robert,anger
37,5,What do you mean?  He lived next door to the girl all his life.  Why wouldn't he want to see her again?,John,neutral
58,5,"You didn't fill this out right. All right. It says that you have to fill out the back sheet of this, but you filled out the yellow sheet of it.",Robert,neutral
91,31,You can do it today.  You don't have to do anything.  You don't have to do anything you don't want to do.,Michael,frustration
68,44,I don't know if I ever can forgive you for that. Why'd you wait so long? I sat in my room wondering if I was crazy for thinking about you.,Jennifer,happiness
48,16,Yeah,Patricia,sadness
83,53,"My whole entire, bloody life time and time again.",Robert,frustration
82,19,Alright.  Um- Well that could be the problem. cause--,Robert,neutral
84,19,"My worst times I think about her, you know, and I",Jennifer,sadness
20,8,That is incredible.,Mary,excited
93,38,Well yeah I mean I like take a shower and stuff.,Linda,frustration
25,98,"Augie, I'm sorry.",Mary,sadness
70,73,"Well, I'm doing the best I can.",Robert,frustration
59,59,we'll have all the money that we ever needed.,Jennifer,sadness
76,44,"Sixty words.  Sixty words a minute.  Hey how are you doing Mr. Smith?  Oh, you know, it's just like God, I just want to shoot you Mr. Smith.",Robert,frustration
96,125,It's important.,Michael,neutral
0,28,Yeah.  Do you want to see my supervisor?  Huh? Yeah.  Do you want to see my supervisor?  Fine.  I'll be right back.,James,anger
30,50,"Yeah, it's pretty good.",Patricia,happiness
23,34,I kissed you.  I kissed Annie.,James,excited
57,80,"Stop it. Stop it. I hate you, do you hear? You're overbearing and conceited and utterly impossible.",Patricia,anger
40,29,"All right.  Look, I've been trying to work this backwards, but I cannot seem to figure out the exact moment that we took a turn for the worst.",John,frustration
